asset_id,asset_name,owner_name,owner_classification,percentage_of_ownership,owner_direct_parent,owner_grouping,operator_name,percentage_of_operation,data_source,url,recency,created_date,original_inventory_sector
5093020,Ghazanfar Oil Refinery,Ghazanfar Group,,,Ghazanfar Group,Ghazanfar Group,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.971224,oil-and-gas-refining
5093021,Armo Ballsh Refinery,Armo,,,Refinery Associates of Texas & Anika Enterprises,Refinery Associates of Texas & Anika Enterprises,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.985777,oil-and-gas-refining
5093022,Sonatrach Skikda Refinery,Sonatrach,,,Sonatrach (Algeria),Sonatrach (Algeria),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.offshore-technology.com/marketdata/skikda-i-refinery-algeria/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.992685,oil-and-gas-refining
5093023,Skikda Condensate Refinery,Sonatrach,,,Sonatrach (Algeria),Sonatrach (Algeria),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.dmsprojects.net/algeria/projects/sonatrach-skikda-condensate-topping-refinery/CPR00056', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.992744,oil-and-gas-refining
5093024,Sonatrach Algiers Refinery Algeria,Sonatrach,,,Sonatrach (Algeria),Sonatrach (Algeria),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.eia.gov/international/analysis/country/DZA/background', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.9928,oil-and-gas-refining
5093025,Sonatrach Arzew Refinery,Sonatrach,,,Sonatrach (Algeria),Sonatrach (Algeria),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://sonatrach.com/raffinage-et-petrochimie', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.992856,oil-and-gas-refining
5093026,Sonatrach Hassi Messaoud Refinery,Sonatrach,,,Sonatrach (Algeria),Sonatrach (Algeria),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.eia.gov/international/analysis/country/DZA/background', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.992912,oil-and-gas-refining
5093027,Sonatrach Adrar Refinery,Sonatrach,,,Sonatrach (Algeria),Sonatrach (Algeria),"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.992968,oil-and-gas-refining
5093028,Sonagol Luanda Refinery,Sonangol,,,Sonangol (Angola),Sonangol (Angola),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.eni.com/en-IT/media/news/2022/07/eni-inaugurates-new-platforming-angola.html', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.992484,oil-and-gas-refining
5093029,YPF la Plata Refinery,YPF,,,YPF (Argentina),YPF (Argentina),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.offshore-technology.com/marketdata/la-plata-refinery-argentina/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.997324,oil-and-gas-refining
